,Date,Fees USDC,Fees WETH,Liquidity USDC added,Liquidity WETH added,Liquidity USDC,Liquidity WETH,Price WETH/USDC,Liquidity added USDC converted,Portfolio USDC converted,Fees USDC converted
0,2023-02-17 16:02:47,0.0,0.0,363690.66009,134.46624736697254,363690.66008565563,134.46624736962042,1675.1860230479829,588946.638250865,588946.6382509563,0.0
1,2023-02-18 00:00:00,401.9277067980832,0.22958680000839632,0.0,0.0,388091.6155273987,119.98360140147153,1694.551585615833,0.0,592200.9919129491,790.9743827887762
2,2023-02-19 00:00:00,576.5772077031984,0.3332096872239978,0.0,0.0,385931.8346936305,121.25879236462286,1692.8330087584602,0.0,592343.3665757265,1140.645565074064
3,2023-02-20 00:00:00,832.8805016862108,0.48861955972612536,0.0,0.0,371094.7161007564,130.05412238445888,1681.0504129902286,0.0,591376.5268605916,1654.2746143589175
4,2023-02-21 00:00:00,1173.148690619883,0.6694601368961374,0.0,0.0,399995.3919312099,112.97844941352758,1704.0392828431081,0.0,594829.0429087522,2313.935062188426
5,2023-02-21 12:09:35,1364.950948,0.7952174930648498,337527.596392,131.28396557854325,694131.4265932662,269.9877796447495,1669.58249016692,556717.0065616125,1147590.9281974803,2692.632150295507
6,2023-02-21 12:23:23,1371.599692,0.7975139953122353,149577.425186,56.99452266583955,849321.5314786874,323.62286767527553,1671.8613029468409,244864.36211094377,1393079.0131729876,2704.9324793210544
7,2023-02-22 00:00:00,2027.8584765429155,1.2042160086820273,0.0,0.0,810835.0848145657,346.7319920322703,1659.0077191651174,0.0,1390091.7982080886,4025.6621304886066
8,2023-02-23 00:00:00,3011.7125051145767,1.8219315344721547,0.0,0.0,764234.4075757823,374.95360134865655,1643.5105599338983,0.0,1386480.6870990405,6006.076221496134
9,2023-02-24 00:00:00,4019.3680136668336,2.423713836732747,0.0,0.0,785601.3533414361,361.9807830224973,1650.6071578713925,0.0,1391109.3922314714,8019.967421209842
10,2023-02-25 00:00:00,5067.616521644055,3.110768781004662,0.0,0.0,657415.3518277074,440.65643184581387,1608.2620399373575,0.0,1376176.9116867292,10070.54786715606
11,2023-02-26 00:00:00,5581.845010721655,3.446638955102697,0.0,0.0,617989.2770669385,465.2701562577697,1595.3486289827015,0.0,1371337.8187016817,11080.435742343114
12,2023-02-27 00:00:00,6105.848199772591,3.7278654021334114,0.0,0.0,757651.1616127765,378.96186477015027,1641.3271490854206,0.0,1391876.0536204923,12224.494892430397
13,2023-02-27 12:06:23,6266.706691,3.826408759835391,0.0,0.0,755944.638467,380.0017655199723,1640.7282486878007,0.0,1391969.0733411447,12544.80363428838
